"coffee"|"company"|"rating"|"city"|"state"|"origin"|"origin_country"|"region"|"roast"|"description"
"Ready-to-Drink Coffee Cold Brew"|"Slingshot Coffee"|"94"|"Raleigh"|"North Carolina"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"NA"|"A pure, ready-to-drink bottled coffee tested over ice. Bright, sweet, refreshing. The acidity is crisply sweet and fruit-toned; the mouthfeel smooth, satiny. Caramel, roasted cacao nib, layered fruit – lemon, grape, peach – and a hint of flowers in the flavor, with the lemon note in particular carrying into a clean, sweet, slightly drying finish. Adding whole milk pleasantly develops the chocolate and rounds the fruit."
"Cold Brew"|"Alchemy"|"92"|"Lawrence"|"Kansas"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"NA"|"A pure, ready-to-drink bottled coffee tested over ice. Pleasingly deep, bittersweet, complex. The acidity is juicy and tart, the mouthfeel full and syrupy. In the flavor dark chocolate, lush flowers, papaya-like fruit. Rich fruit- and chocolate-toned finish. The addition of cold milk intensifies both the intensity of the flavors and the bittersweetness of the structure."
"Cold Brewed Coffee Concentrate"|"Pier Coffee"|"91"|"Seattle"|"Washington"|"Bukeye Commune, Muramvye Province, Burundi"|"Burundi"|"Africa"|"NA"|"A pure coffee concentrate. Tested over ice in proportions of two parts concentrate to one part water. Sweet, crisp, pungent. Delicately bright acidity; light, silky mouthfeel. In the flavor caramel, hazelnut, black currant, pear, ripe orange, a hint of flowers. Hazelnut and citrus carry into a pleasing though rather short finish. The addition of cold milk paradoxically seems to intensify both fruit-toned acidity and floral sweetness."
"Chaquiro Colombia"|"JBC Coffee Roasters"|"91"|"Madison"|"Wisconsin"|"Antioquia Department, central northwest Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Soft, sweet, lively. Cane sugar, prairie flowers, honeydew melon in aroma and cup. Round, balanced acidity; plush, gently buoyant mouthfeel. Flavor consolidates but lasts in a sweet-toned, rich finish."
"Elida Estate Panama"|"Bird Rock Coffee Roasters"|"95"|"La Jolla"|"California"|"Elida Estate, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Balanced but extravagantly and exotically aromatic. Minty dark chocolate, lush flowers, fresh-cut cedar, rye whisky, complexly layered fruit – strawberry, mango, guava – in aroma and cup. Round, resonant acidity; full, very smooth mouthfeel. Flavor consolidates around the chocolate tendency in a resonant finish."
"Kenya Baragwi Kagongo Peaberry"|"CQ Coffee Roasters"|"94"|"Bedford"|"New Hampshire"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"Complex, deep, pungent. Black currant and blackberry; opulent flowers; dark chocolate; hints of fresh herb – black sage, cilantro – in aroma and cup. Powerful, richly tart acidity; plush mouthfeel. Sweet, flavor-saturated finish."
"Costa Rica Helsar Manuel Macho Arce"|"CQ Coffee Roasters"|"92"|"Bedford"|"New Hampshire"|"West Valley growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Light"|"Sweet-toned, quietly lyric. Brown sugar, carob, rose-like flowers, almond, hints of tangerine and cumin in aroma and cup. Round, gentle acidity; full, syrupy mouthfeel. Quietly flavor-saturated finish."
"El Guamal Colombia"|"JBC Coffee Roasters"|"92"|"Madison"|"Wisconsin"|"Antioquia Department, central northwest Colombia"|"Colombia"|"South_America"|"Light"|"Very sweet, delicately rich. Cane sugar, lilac, hazelnut, fresh-cut oak, a hint of honeydew-melon-like fruit in aroma and cup. Bright, juicy acidity; lightly syrupy mouthfeel. Floral and fruit hints in particular carry into a quiet, balanced finish."
"Sumatra Ulos Batak"|"Bird Rock Coffee Roasters"|"96"|"La Jolla"|"California"|"Northern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium"|"Extraordinarily intense and complexly aromatic coffee. Pungent fruit (grapefruit, black currant); moist pipe tobacco and sweet, freshly turned clay; molasses and chocolate fudge. Round, quietly vibrant acidity; full, syrupy mouthfeel. Richly sweet, powerfully flavor-saturated finish."
"Washed Yirgacheffe"|"Bird Rock Coffee Roasters"|"94"|"La Jolla"|"California"|"Kochere, Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Delicately intense; layered complexity. Candied lemon, peach, kiwi, roasted cacao nib, a hint of spice (cardamom, saffron) in aroma and cup. Soft but crisply lively acidity; very silky mouthfeel. Sweet, deeply flavor-saturated finish."
"Ethiopia Natural Aricha"|"Revel Coffee"|"93"|"Billings"|"Montana."|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Very sweet, brandy-toned. Black cherry, brandy, rose-like flowers, ripe orangy citrus in aroma and cup. Juicy, vivacious acidity; syrupy but lively mouthfeel. Cherry and floral notes carry into a sweet-toned though rather short, drying finish."
"Kenya Kikai"|"Lexington Coffee Roasters"|"95"|"Lexington"|"Virginia"|"Bungoma region, western Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Sweetly and deeply pungent; intense but balanced. Peach, plum, black currant, narcissus-like flowers, fresh-cut elm in aroma and cup. Crisply sweet, nuanced acidity; silky, buoyant mouthfeel. Flowers in particular saturate a rich, resonant finish."
"Guatemala ASDECAFE"|"Lexington Coffee Roasters"|"92"|"Lexington"|"Virginia"|"Western Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Quiet but vibrant. Caramel, roasted cacao nib, fresh-cut oak, orangy citrus, musk in aroma and cup. Gentle but crisply lively acidity; full, syrupy mouthfeel. Round, quietly flavor-saturated finish."
"Ethiopia Kochere"|"Lexington Coffee Roasters"|"91"|"Lexington"|"Virginia"|"Kochere, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Balanced; delicate but rich. Honey, lilac, fresh-cut cedar, roasted cacao nib in aroma and cup. Brisk acidity; light but silky mouthfeel. Flowers in particular carry into a sweet though drying finish."
"Rwanda Hinga Kawa"|"Victrola Coffee Roasters"|"93"|"Seattle"|"Washington"|"Gakende District, Northern Province, Rwanda"|"Rwanda"|"Africa"|"Medium"|"Soft, rich, deep. Complex floral-related notes (honeysuckle, rose, vanilla, peach) lead, particularly in the cup, with complicating hints of earthy, strawberry-like fruit and walnut. Pronounced but gentle acidity; plush, silky mouthfeel. Floral notes profoundly saturate a sweet-toned finish."
"Mexico CESMACH FTO"|"Paradise Roasters"|"92"|"Ramsey"|"Minnesota"|"Chiapas State, southeastern Mexico"|"Mexico"|"CentralAmerica_Mexico"|"Medium-Light"|"A slightly rough, but profoundly sweet and quite chocolaty cup. Brown sugar, dark chocolate, hints of lily, green grape and peach in aroma and cup. Round, backgrounded acidity; lightly but distinctly syrupy mouthfeel. Sweet, long, chocolate-toned finish."
"Burundi Mpanga"|"Victrola Coffee Roasters"|"92"|"Seattle"|"Washington"|"Kayanza Province, northern Burundi"|"Burundi"|"Africa"|"Medium-Light"|"Rich, deep, sweet-savory. Caramel, fresh-cut fir, pineapple, pear, a hint of honeysuckle in aroma and cup. Crisp, pleasantly bittersweet acidity; plush mouthfeel. Flavor consolidates but persists in a very rich finish."
"Mexican Vera Cruz Finca Kassandra"|"Just Love Coffee Roasters"|"90"|"Murfreesboro"|"Tennessee"|"Vera Cruz growing region, Mexico"|"Mexico"|"CentralAmerica_Mexico"|"Medium"|"Sweet but crisply dry throughout the profile. Sweet plum and night-blooming flowers complemented by pine and caraway seed in aroma and cup. Backgrounded acidity; very lightly syrupy mouthfeel. Flavor consolidates but lasts in a sweet but gently drying finish."
"Las Margaritas Colombia Gesha"|"Barrington Coffee Roasting Co."|"92"|"Lee"|"Massachusetts"|"Valle del Cauca Department, Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Quietly rich, distinctive. Brisk notes of fine black tea and fresh-cut cedar balanced by considerable sweetness: honeysuckle, ripe apricot, vanilla. Crisp, pleasantly bittersweet acidity; light, silky mouthfeel. Flavor consolidates but lasts in a gently drying finish."
"El Diamante Huehuetenango Guatemala"|"Barrington Coffee Roasting Co."|"92"|"Lee"|"Massachusetts"|"Agua Dulce, Huehuetenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Light"|"Sweetly pungent, very deep, quietly complex. Sweet dark chocolate, clove, prune, hints of grapefruit and musky night flowers in aroma and cup. Soft but vibrant acidity; plush mouthfeel. Chocolate in particular carries into a very long, resonant finish."
"Ethiopia Yirgacheffe Kore Kochore"|"CQ Coffee Roasters"|"94"|"Bedford"|"New Hampshire"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Pungent, deeply flavor-saturated. Honey, blood orange, black currant, rhododendron-like flowers in aroma and cup. Richly tart acidity; lightly syrupy mouthfeel. Flavor consolidates but carries far into a pungent, sweet-toned finish."
"Sombra del Poro Costa Rica"|"Caribou Coffee"|"88"|"Minneapolis"|"Minnesota"|"Tarrazu growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium"|"Crisp, soft, sweet-toned. Dark chocolate, fresh-cut fir, plum, a hint of musk in aroma and cup. Gentle, balanced acidity; plush, satiny mouthfeel. Flavor consolidates in a sweet-toned though simple finish."
"SO Espresso Brazil Fazenda Rainha Natural"|"Paradise Roasters"|"94"|"Ramsey"|"Minnesota"|"Mogiana Region, Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Medium"|"Evaluated as espresso. Opulent, sweet, carnal. Brown sugar, fresh-cut cedar, rich chocolate, apricot, cinnamon, a hint of narcissus-like flowers in aroma and small cup. Full, syrupy mouthfeel. Flowers, chocolate and cinnamon in particular saturate a crisp finish. Flavor softens but carries relatively intact into three parts milk."
"Ethiopia Natural Yirgacheffe Reko"|"Kakalove Cafe"|"93"|"Chia-Yi"|"Taiwan"|"Kochere, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Intense yet delicate. Chocolate, tangerine, papaya, honeysuckle, a hint of bourbon-style whisky in aroma and cup. Sweetly brisk, buoyant acidity; silky, lively mouthfeel. Floral notes in particular carry into a gently rich finish."
"Regular Coffee"|"Regular Coffee"|"90"|"Grand Rapids"|"Michigan"|"Inza Municipality, Cauca Province, southwestern Colombia"|"Colombia"|"South_America"|"Medium"|"Soft, crisp, quietly complete. Caramel, hazelnut, raspberry-like fruit, fresh-cut fir in aroma and cup. Gentle but lively acidity; lightly though distinctly syrupy mouthfeel. Raspberry in particular carries into a quietly flavor-saturated finish."
"Organic Colombia El Roble"|"Allegro Coffee"|"89"|"Thornton"|"Colorado"|"Santander Department, Colombia"|"Colombia"|"South_America"|"Medium"|"Sweet-toned, round, resonant. Peach, almond, fresh-cut cedar, rhododendron-like flowers in aroma and cup. Roundly brisk acidity; syrupy mouthfeel. Flavor consolidates but gently persists in a sweet-toned though drying finish."
"Papua New Guinea"|"Revel Coffee"|"90"|"Billings"|"Montana"|"Wahgi Valley, Western Highlands, Papua New Guinea"|"Papua_New_Guinea"|"Asia_Indonesia"|"Medium-Light"|"Delicate, quiet, exotic. Grapefruit, dark chocolate, molasses, vanilla, a hint of pink peppercorn in aroma and cup. Quiet, backgrounded acidity; lightly syrupy mouthfeel. Grapefruit and molasses in particular carry into a sweet-toned, balanced finish."
"Sulawesi Toarco Jaya"|"Topeca Coffee Roasters"|"91"|"Tulsa"|"Oklahoma"|"Toraja growing region, south-central Sulawesi, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Light"|"Tartly sweet, pungent, complex. Halvah-like honey and nut, plum, suggestions of pine and honeysuckle in aroma and cup. Round but vibrant acidity; satiny mouthfeel. Hints of honey, nut and flowers carry into a sweet-toned, balanced finish."
"Papua New Guinea Baroida"|"Allegro Coffee"|"91"|"Thornton"|"Colorado"|"Eastern Highlands Province, Papua New Guinea"|"Papua_New_Guinea"|"Asia_Indonesia"|"Medium"|"Delicate, pungent, subtly original. Dark honey, ripe grapefruit, orchid-like flowers, a hint of cinnamon in aroma and cup. Brisk, juicy acidity; light but silky mouthfeel. The grapefruit notes carries into a crisp, continued juicy finish."
"Sulawesi Toraja Mamasa"|"Ghost Town Coffee Roasters"|"91"|"Bozeman"|"Montana"|"Mamasa growing region, south-central Sulawesi, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium"|"Crisp, earthy chocolate (or chocolaty earth) dominates aroma and flavor, complicated by tart passion fruit and hints of vanilla and musk. Rounded, gently vibrant acidity; lightly syrupy mouthfeel. Rich though drying finish."
"Papua New Guinea Sihereni"|"PT's Coffee Roasting Co."|"92"|"Topeka"|"Kansas"|"Upper Asaro Valley, Eastern Papua New Guinea"|"Papua_New_Guinea"|"Asia_Indonesia"|"Medium-Light"|"Pungently sweet, balanced, elegant. Black currant, dark chocolate, molasses, rose-like flowers in aroma and cup. Tartly sweet, lively acidity; plush, silky mouthfeel. Crisp though sweet, molasses-inflected finish."
"Sulawesi Tana Toraja"|"Blueprint Coffee"|"92"|"St. Louis"|"Missouri"|"Toraja growing region, South Sulawesi, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Light"|"Sweetly and deeply pungent. Honey, grapefruit, cacao nib, Brazil nut, a hint of fine leaves tobacco in aroma and cup. Briskly but pleasantly bittersweet acidity; silky mouthfeel. Flavor consolidates and simplifies in an otherwise impressive finish: rich, deep, long."
"Sulawesi PT Toarco"|"Propeller Coffee"|"93"|"Toronto"|"Ontario"|"Toraja growing region, southwestern Sulawesi, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Light"|"Quietly distinctive; resonant. Honey, dark chocolate, hazelnut, sweetly pungent fruit (cherimoya?) in aroma and cup. Round but juicy acidity; lively, syrupy mouthfeel. Chocolate sweetness dominates in a long, gently persistent finish."
"Papua New Guinea Kunjin"|"Chromatic Coffee"|"94"|"San Jose"|"California"|"Wahgi Valley, Western Highlands, Papua New Guinea"|"Papua_New_Guinea"|"Asia_Indonesia"|"Light"|"Plush, deep, resonant. Apricot and orange, roasted cacao nib, vanilla, a hint of fresh-cut cedar in aroma and cup. Round, soft, though deeply vibrant acidity; full, syrupy mouthfeel. Very sweet finishing, with continued hints of orange and vanilla."
"Ethiopia Sidama Ardi"|"Caffe Luxxe"|"94"|"Santa Monica"|"California"|"Guji Zone, Sidama Province, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Immense and lavish. Blueberry, guava, dark chocolate, a hint of cognac, musky, carnal flowers in aroma and cup. Richly pungent acidity; lightly syrupy mouthfeel. Guava and chocolate in particular carry into a mildly drying but deeply flavor-saturated finish."
"Colombia Piendamo Regional Select"|"BeanFruit Coffee Company"|"92"|"Jackson"|"Mississippi"|"Cauca Department, southwestern Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Sweetly pungent, complex, original. Cherry-like fruit, brown sugar, roasted cacao nib, hints of clove and vanilla in aroma and cup. Crisp, lightly juicy acidity; light, silky mouthfeel. The cacao nib and spice in particular carry into a gently drying but sweet-toned finish."
"Costa Rica Dota"|"Allegro Coffee"|"88"|"Thornton"|"Colorado"|"Santa Maria de Dota valley, Tarrazu growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium"|"Sweet, delicately crisp. Walnut, fresh-cut fir, carob, raisin, a spicy floral hint in aroma and in the cup, where the carob sweetens and rounds toward chocolate. Quiet, backgrounded acidity; syrupy mouthfeel. Drying though sweet-toned finish."
"Organic Peru Cecovasa"|"Allegro Coffee"|"88"|"Thornton"|"Colorado"|"Southern Peru"|"Peru"|"South_America"|"Medium"|"Deep, quiet, gently chocolaty. Hazelnut, dark chocolate, fresh-cut oak, a hint of orangy citrus in aroma and cup. Simple, functional acidity; very lightly syrupy mouthfeel. Chocolate in particular carries into a dry but sweet-toned finish."
"Sumatra Lintong"|"Allegro Coffee"|"90"|"Thornton"|"Colorado"|"Lintong growing region, northern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Dark"|"Notes:"
"Colombia Agustino Forest"|"Allegro Coffee"|"90"|"Thornton"|"Colorado"|"San Agustín growing region, Huila Department, southern Colombia"|"Colombia"|"South_America"|"Medium"|"Pungently sweet, nut-toned. Carob, roasted chestnut, taffy, hints of mango and musk. Crisp, resonant acidity; lightly syrupy mouthfeel. Some flavor carries into a richly balanced finish."
"Kenya Grand Cru"|"Allegro Coffee"|"93"|"Thornton"|"Colorado"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"Tartly sweet, berry-toned, complex. Blackberry, black currant, dark chocolate and complex flowers, from bitterish lavender to sweet honeysuckle. Delicately lush, buoyant acidity; silky, lively mouthfeel. Berries and chocolate saturate a deep finish."
"Celinga Ethiopia Espresso"|"JBC Coffee Roasters"|"94"|"Madison"|"Wisconsin"|"Celinga Village, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Intense, brightly sweet, deep. Honey, lilac, complex fruit (blood orange, mango, passion fruit), roasted cacao nib in aroma and small cup. Very smooth, silky mouthfeel. Flavor consolidates in a tartly drying but very sweet finish. Three parts milk rounds the cacao-nib and fruit to a rich, fruit-saturated chocolate."
"Celinga Ethiopia"|"JBC Coffee Roasters"|"95"|"Madison"|"Wisconsin"|"Celinga Village, Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Intense, sweetly complex, dramatic. Honey, jasmine, peach, mango, a crisp hint of roasted cacao nib in aroma and cup. Buoyant, lyric acidity; silky, lively mouthfeel. Flavor consolidates but rings on and on in a very long finish."
"Kochere Yirgacheffe Ethiopia"|"Cafe Grumpy"|"92"|"Brooklyn"|"New York"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Crisply sweet, subtle, engaging. Tangerine, plum, lush, lily-like flowers, a hint of nut-toned chocolate in aroma and cup. Brisk, delicate acidity; light but silky mouthfeel. Flowers and chocolate carry into in a richly drying finish."
"Las Flores Honduras"|"Cafe Grumpy"|"90"|"Brooklyn"|"New York"|"Santa Barbara Department, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium-Light"|"Deep, sweetly pungent. Molasses, pecan, raisin, a hint of dark chocolate in aroma and cup. Roundly tart acidity; full, syrupy mouthfeel. Chocolate and raisin carry into a crisply drying finish."
"Brazil Serra Do Bone"|"Temple Coffee and Tea"|"93"|"Sacramento"|"California"|"Matas de Minas growing region, Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Light"|"Complex, deep, original. Halvah-like honey and nut, coconut, narcissus-like flowers, a hint of rye whisky in aroma and cup. Rich, rounded acidity; light but syrupy mouthfeel. Deeply flavor-saturated finish coasts on and on."
"Brazil Araponga Temple Select"|"Temple Coffee and Tea"|"92"|"Sacramento"|"California"|"Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Medium-Light"|"Balanced, subtle, layered. Hazelnut, honeydew melon, tamarind, fresh-cut oak in aroma and cup. Crisp, gently lively acidity; light, buoyant mouthfeel. Resonant, gently flavor-saturated finish."
"Rwanda Gashonga"|"North Star Micro Roasters"|"91"|"Leeds"|"England"|"Rusizi District, western Rwanda"|"Rwanda"|"Africa"|"Light"|"Richly and sweetly pungent. Rose-like floral notes, mulberry, fresh-cut cedar, musk in aroma and cup. Gently bright, balanced acidity; light but lively mouthfeel. Flavor consolidates but saturates a very sweet-toned finish."
"Kiawamururu Kenya"|"Climpson & Sons Coffee Roasters"|"91"|"London"|"England"|"Nyeri growing region, south-central Kenya"|"Kenya"|"Africa"|"Light"|"Delicate, gently tart. Honey, red currant, hints rose hip, fresh-cut cedar, sweet prairie flowers. Sweetly bright, juicy acidity; lightly syrupy, lively mouthfeel. Rich, flavor-saturated finish."
"Doyo Coop Ethiopia"|"Climpson & Sons Coffee Roasters"|"91"|"London"|"England"|"Jimma Zone, Oromia Region, southwestern Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Very sweet, soft, delicate. Distinct honey and almond notes, roasted cacao nib, hints of narcissus and tangerine-like fruit in aroma and cup. Gentle, lively acidity; light but silky mouthfeel. Almond and flowers carry into a sweet, quiet, slightly drying finish."
"Ethiopia Levelup Coffee Natural"|"Horsham Coffee Roaster"|"92"|"West Sussex"|"England"|"Southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Richly and lavishly pungent. Blackberry, black currant, dark chocolate, musky flowers in aroma and cup. Low-toned but vibrant acidity; lightly syrupy, lively mouthfeel. Distinct dark chocolate and berry notes carry into a long, clean, sweet-toned finish."
"Ethiopia Guji Shakiso"|"Clifton Coffee Roasters"|"92"|"Bristol"|"England"|"Guji Zone, Oromia Region, Sidama Province, Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Sweet, juicy, complex. Orange- and guava-like fruit, dark chocolate, pistachio, lush honeysuckle in aroma and cup. Brisk but juicy acidity; silky mouthfeel. Flavor gently saturates a deep, lively finish."
"Gatomboya Bourbon SL28 Kenya"|"Artisan Roast"|"93"|"Edinburgh"|"Scotland"|"Nyeri growing region, south-central Kenya"|"Kenya"|"Africa"|"Medium"|"Crisp, sweetly and elegantly tart. Black currant, dark chocolate, night-blooming flowers, pungent sandalwood in aroma and cup. Richly and deeply tart acidity; lightly syrupy, lively mouthfeel. Flowers, black currant, sandalwood all saturate a resonant though drying finish."
"Colombia Santiago Joven"|"Spyhouse Coffee Roasters"|"93"|"Minneapolis"|"Minnesota"|"Timana growing region, Huila Department, southern Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Pungent and savory-sweet. Roasted cacoa nib and nut, lily, complex fruit (apricot, plum, blood orange), a hint of sweet licorice bark in aroma and cup. Rich, juicy acidity; lightly plush mouthfeel. Floral and cacao notes in particular carrying into a crisp finish."
"Ethiopia Ardi"|"Topeca Coffee Roasters"|"92"|"Tulsa"|"Oklahoma"|"Guji Zone, Sidama Province, southern Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Crisply pungent, balanced, sweet-toned. Roasted cacao nib, almond, tangerine, a hint of sweetly fermented fruit cider in aroma and cup. Gently brisk acidity; lively, lightly syrupy mouthfeel. A hint of savory depth in the cup carries with the cacao nib and tangerine into a resonant finish."
"Tanzania Shiwanda Estate Peaberry"|"Pebble Coffee"|"91"|"Taipei"|"Taiwan"|"Mbeya growing region, southern Tanzania"|"Tanzania"|"Africa"|"Medium"|"Sweet, balanced, gently deep. Caramel, walnut, raisin, flowers, coriander in aroma and cup. Juicy, gently lush acidity; light, silky mouthfeel. Flavor consolidates in a crisp, resonant finish."
"Rwanda Bufcafe"|"Highwire Coffee Roasters"|"92"|"Emeryville"|"California"|"Nyamagabe region, Rwanda"|"Rwanda"|"Africa"|"Medium"|"Deep, pungent, complexly chocolate-toned. Dark chocolate, hazelnut, apricot, hints of night-blooming flowers and black currant in aroma and cup. Tart, richly brisk acidity; syrupy, lively mouthfeel. Chocolate and flowers in particular carry into a richly drying finish."
"Congo Muungano"|"Kickapoo Coffee Roasters"|"92"|"Driftless"|"Wisconsin"|"Kalehe, Southern Kivu, Democratic Republic of the Congo"|"Democratic_Republic_Of_The_Congo"|"Africa"|"Medium-Light"|"Pungent, sweetly tart. Tangerine, agave syrup, roasted cacao nib, plum in aroma and cup. Impressively lush, sweetly bright acidity; plush mouthfeel. The tart tangerine carries into a deeply resonant, sweet-toned finish."
"Burundi Kayanza Gitika"|"Revel Coffee"|"92"|"Billings"|"Montana"|"Kayanza Province, northern Burundi"|"Burundi"|"Africa"|"Light"|"Sweet, lively, juicy. Cane sugar, honeysuckle, white grape, hazelnut, a hint of tapioca in aroma and cup. Bright, resonant acidity; lightly syrupy mouthfeel. Flavor consolidates in a long, sweet-toned finish."
"Rwanda Karongi Gitesi"|"Papa Lin's Coffee Roasting"|"93"|"Yorktown Heights"|"New York"|"Kirambo, Karongi District, Rwanda"|"Rwanda"|"Africa"|"Medium"|"Subtle, deep, complex. Honey, honeysuckle-like flowers, crisp red currant, hints of pistachio and clove in aroma and cup. Lush, round acidity; lively, syrupy mouthfeel. Honey and flowers saturate a mildly drying finish."
"Rwanda Gitesi"|"Orazure Hand Roasted Coffee"|"93"|"Woodlands"|"Texas"|"Karongi District, western Rwanda"|"Rwanda"|"Africa"|"Medium-Light"|"Brisk but juicy. Grapefruit, lush flowers, honey, sweet squash in aroma and cup. Richly tart acidity; light but plush mouthfeel. Flavor consolidates but persists in a long, crisp finish."
"Rwanda Lake Kivu Kabirizi FTO"|"Namusairo Coffee"|"93"|"Seoul"|"South Korea"|"Nyamyumba region, Rwanda"|"Rwanda"|"Africa"|"Medium-Light"|"Rich, syrupy, lush. Honey, gardenia-like flowers, Concord grape, carob in aroma and cup. Bright, juicy acidity; full, syrupy mouthfeel. Grape and carob carry into a simplifying but long, ringing finish."
"Rwanda Karongi Gitesi"|"GivCOFFEE"|"93"|"Torrington"|"Connecticut"|"Kirambo, Karongi District, Rwanda"|"Rwanda"|"Africa"|"Medium"|"Deeply sweet and chocolaty with a savory edge. Honey, chocolate, lilac, mulberry in aroma and cup. Delicately brisk acidity; syrupy mouthfeel. Chocolate and honey in particular saturate a crisp, rich finish."
"Rwanda Cotecaga Bourbon"|"Four Barrel Coffee"|"93"|"San Francisco"|"California"|"Nyamasheke region, Rwanda"|"Rwanda"|"Africa"|"Light"|"Big, roundly pungent, complete. Honey, grape, complex flowers (honeysuckle, lavender), candied orange in aroma and cup. Richly intense acidity; syrupy, lively mouthfeel. Grape and lavender notes in particular resonate in a very deep, long finish."
"Rwanda Kirezi"|"Blue Bottle Coffee"|"93"|"Oakland"|"California"|"Nyanza region, Rwanda"|"Rwanda"|"Africa"|"Light"|"Savory nut and sweet honey notes together suggest an almost halvah-like richness, with complications of fresh-cut cedar and roasted cacao nib. Sweetly brisk, buoyant acidity; lively, silky mouthfeel. Drying though deeply flavor-saturated finish."
"Flor Del Huila"|"Caribou Coffee"|"91"|"Minneapolis"|"Minnesota"|"Garzon growing region, Huila Department, southern Colombia"|"Colombia"|"South_America"|"Medium"|"Gently and sweetly tart, quietly complex. Brown sugar, roasted cacao nib, peach, orange, hazelnut in aroma and cup. Crisp, backgrounded acidity; light but silky mouthfeel. Flavor rounds but carries into a sweet-toned finish."
"Tanzania Nyoni"|"Caribou Coffee"|"90"|"Minneapolis"|"Minnesota"|"Matengo Highlands, Ruvuma Region, southwestern Tanzania"|"Tanzania"|"Africa"|"Medium"|"A rich, lightly roast-toned dark chocolate enveloped in lush floral sweetness dominates in aroma and cup. Hints of banana and honey. Rich, round, gently tart acidity; lightly syrupy mouthfeel. The finish is mildly drying, but a resonant chocolate sweetness prevails in the long."
"Copan Honduras"|"Caribou Coffee"|"89"|"Minneapolis"|"Minnesota"|"Copan Department, Honduras"|"Honduras"|"CentralAmerica_Mexico"|"Medium"|"Round, quiet, deep. Raisin, dark chocolate, roasted pistachio, oak in aroma and cup. Rich, low-toned acidity; lightly syrupy mouthfeel. Flavor consolidates in a sweet-toned, balanced, lightly drying finish."
"Ethiopia Danch Meng"|"Cambria Coffee"|"94"|"Cambria"|"California"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Intricate, distinctive, complete. Dark chocolate, a rich array of fruit suggestions – pear, pineapple, plum – and rose, sandalwood and vanilla notes in aroma and cup. Plumply tart and rich acidity; lightly syrupy, lively mouthfeel. Flavor consolidates but saturates a long, rich finish."
"Ethiopia Sidamo Bokasso Coop"|"Compelling & Rich"|"91"|"Beverly Hills"|"California"|"Sidamo (also Sidama) growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Balanced, sweetly crisp. Caramel, hazelnut, strawberry, roasted cacao nib in aroma and cup, where a giddy lilac-like floral note emerges. Delicately lush acidity; light though silky mouthfeel. The cacao note in particular carries into a rich, drying finish."
